cluster,move_type,round,percentage
positional,quiet_moves_pct,90,73.75
positional,quiet_moves_pct,100,73.43
positional,quiet_moves_pct,110,74.79
positional,quiet_moves_pct,120,71.28
positional,quiet_moves_pct,130,74.3
positional,quiet_moves_pct,140,72.52
positional,quiet_moves_pct,150,74.76
positional,quiet_moves_pct,160,74.68
positional,quiet_moves_pct,170,74.73
positional,quiet_moves_pct,180,72.9
positional,quiet_moves_pct,190,73.58
positional,quiet_moves_pct,200,73.65
positional,quiet_moves_pct,210,74.6
positional,quiet_moves_pct,220,73.43
positional,quiet_moves_pct,230,75.04
positional,quiet_moves_pct,240,74.05
positional,quiet_moves_pct,250,75.24
positional,quiet_moves_pct,260,73.38
positional,quiet_moves_pct,270,74.93
positional,quiet_moves_pct,280,74.74
positional,quiet_moves_pct,290,74.83
positional,quiet_moves_pct,300,73.42
positional,quiet_moves_pct,310,74.43
positional,quiet_moves_pct,320,74.27
positional,quiet_moves_pct,330,72.63
positional,quiet_moves_pct,340,72.91
positional,quiet_moves_pct,350,74.88
