cluster,move_type,round,percentage
positional,quiet_moves_pct,70,72.93
positional,quiet_moves_pct,80,75.55
positional,quiet_moves_pct,90,75.06
positional,quiet_moves_pct,100,74.23
positional,quiet_moves_pct,110,72.71
positional,quiet_moves_pct,120,72.85
positional,quiet_moves_pct,130,74.04
positional,quiet_moves_pct,140,72.91
positional,quiet_moves_pct,150,72.15
positional,quiet_moves_pct,160,73.89
positional,quiet_moves_pct,170,74.26
positional,quiet_moves_pct,180,74.72
positional,quiet_moves_pct,190,74.21
positional,quiet_moves_pct,200,71.99
positional,quiet_moves_pct,210,73.61
positional,quiet_moves_pct,220,73.04
positional,quiet_moves_pct,230,75.02
positional,quiet_moves_pct,240,72.78
positional,quiet_moves_pct,250,73.34
positional,quiet_moves_pct,260,73.61
positional,quiet_moves_pct,270,73.77
positional,quiet_moves_pct,280,74.32
positional,quiet_moves_pct,290,75.07
positional,quiet_moves_pct,300,74.64
positional,quiet_moves_pct,310,74.07
positional,quiet_moves_pct,320,74.22
positional,quiet_moves_pct,330,74.84
positional,quiet_moves_pct,340,74.55
positional,quiet_moves_pct,350,73.28
