experiment,cluster,round,elo
B2_no_sharing,tactical,230,950
B2_no_sharing,tactical,240,1000
B2_no_sharing,tactical,250,925
B2_no_sharing,tactical,260,950
B2_no_sharing,tactical,270,925
B2_no_sharing,tactical,280,1100
B2_no_sharing,tactical,290,1025
B2_no_sharing,tactical,300,975
B2_no_sharing,tactical,310,1000
B2_no_sharing,tactical,320,925
B2_no_sharing,tactical,330,1125
B2_no_sharing,tactical,340,975
B2_no_sharing,tactical,350,1225
B2_no_sharing,positional,10,800
B2_no_sharing,positional,20,800
B2_no_sharing,positional,30,800
B2_no_sharing,positional,40,800
B2_no_sharing,positional,50,800
B2_no_sharing,positional,60,800
B2_no_sharing,positional,70,800
B2_no_sharing,positional,80,900
B2_no_sharing,positional,90,825
B2_no_sharing,positional,100,900
B2_no_sharing,positional,110,800
B2_no_sharing,positional,120,800
B2_no_sharing,positional,130,925
B2_no_sharing,positional,140,1050
B2_no_sharing,positional,150,925
B2_no_sharing,positional,160,925
B2_no_sharing,positional,170,900
B2_no_sharing,positional,180,1025
B2_no_sharing,positional,190,975
B2_no_sharing,positional,200,1075
B2_no_sharing,positional,210,900
B2_no_sharing,positional,220,950
B2_no_sharing,positional,230,950
B2_no_sharing,positional,240,1025
B2_no_sharing,positional,250,1150
B2_no_sharing,positional,260,975
B2_no_sharing,positional,270,950
B2_no_sharing,positional,280,825
B2_no_sharing,positional,290,950
B2_no_sharing,positional,300,975
B2_no_sharing,positional,310,1050
B2_no_sharing,positional,320,950
B2_no_sharing,positional,330,950
B2_no_sharing,positional,340,1075
B2_no_sharing,positional,350,1075
P1_share_early,tactical,10,800
P1_share_early,tactical,20,800
P1_share_early,tactical,30,800
P1_share_early,tactical,40,800
P1_share_early,tactical,50,800
P1_share_early,tactical,60,800
P1_share_early,tactical,70,825
P1_share_early,tactical,80,900
P1_share_early,tactical,90,900
P1_share_early,tactical,100,825
P1_share_early,tactical,110,1025
P1_share_early,tactical,120,875
P1_share_early,tactical,130,800
P1_share_early,tactical,140,800
P1_share_early,tactical,150,1000
P1_share_early,tactical,160,800
P1_share_early,tactical,170,800
P1_share_early,tactical,180,925
P1_share_early,tactical,190,1025
P1_share_early,tactical,200,825
P1_share_early,tactical,210,1100
P1_share_early,tactical,220,1025
P1_share_early,tactical,230,975
P1_share_early,tactical,240,950
P1_share_early,tactical,250,950
P1_share_early,tactical,260,975
P1_share_early,tactical,270,1150
P1_share_early,tactical,280,1100
P1_share_early,tactical,290,1050
P1_share_early,tactical,300,1025
P1_share_early,tactical,310,1125
P1_share_early,tactical,320,1100
P1_share_early,tactical,330,975
P1_share_early,tactical,340,900
P1_share_early,tactical,350,1075
P1_share_early,positional,10,800
P1_share_early,positional,20,800
P1_share_early,positional,30,800
P1_share_early,positional,40,800
P1_share_early,positional,50,800
