experiment,layer_group,round,divergence
B2_no_sharing,policy_head,180,0.239385
B2_no_sharing,policy_head,190,0.238109
B2_no_sharing,policy_head,200,0.236367
B2_no_sharing,policy_head,210,0.235506
B2_no_sharing,policy_head,220,0.234262
B2_no_sharing,policy_head,230,0.233089
B2_no_sharing,policy_head,240,0.23161
B2_no_sharing,policy_head,250,0.230888
B2_no_sharing,policy_head,260,0.230103
B2_no_sharing,policy_head,270,0.229103
B2_no_sharing,policy_head,280,0.229033
B2_no_sharing,policy_head,290,0.228641
B2_no_sharing,policy_head,300,0.228292
B2_no_sharing,policy_head,310,0.228261
B2_no_sharing,policy_head,320,0.228224
B2_no_sharing,policy_head,330,0.228194
B2_no_sharing,policy_head,340,0.228103
B2_no_sharing,policy_head,350,0.228079
B2_no_sharing,value_head,10,1.091856
B2_no_sharing,value_head,20,1.074486
B2_no_sharing,value_head,30,1.062867
B2_no_sharing,value_head,40,1.103551
B2_no_sharing,value_head,50,1.149105
B2_no_sharing,value_head,60,1.128383
B2_no_sharing,value_head,70,1.15473
B2_no_sharing,value_head,80,1.163526
B2_no_sharing,value_head,90,1.141521
B2_no_sharing,value_head,100,1.129314
B2_no_sharing,value_head,110,1.151935
B2_no_sharing,value_head,120,1.174756
B2_no_sharing,value_head,130,1.144535
B2_no_sharing,value_head,140,1.178461
B2_no_sharing,value_head,150,1.197021
B2_no_sharing,value_head,160,1.1916
B2_no_sharing,value_head,170,1.176061
B2_no_sharing,value_head,180,1.197983
B2_no_sharing,value_head,190,1.165694
B2_no_sharing,value_head,200,1.192776
B2_no_sharing,value_head,210,1.20983
B2_no_sharing,value_head,220,1.216038
B2_no_sharing,value_head,230,1.211219
B2_no_sharing,value_head,240,1.22713
B2_no_sharing,value_head,250,1.215028
B2_no_sharing,value_head,260,1.180276
B2_no_sharing,value_head,270,1.2104
B2_no_sharing,value_head,280,0.742739
B2_no_sharing,value_head,290,0.741101
B2_no_sharing,value_head,300,1.147739
B2_no_sharing,value_head,310,0.740718
B2_no_sharing,value_head,320,0.739151
B2_no_sharing,value_head,330,0.73812
B2_no_sharing,value_head,340,0.737028
B2_no_sharing,value_head,350,0.736605
P1_share_early,input_block,10,-1e-06
P1_share_early,input_block,20,-1e-06
P1_share_early,input_block,30,-1e-06
P1_share_early,input_block,40,-1e-06
P1_share_early,input_block,50,-1e-06
P1_share_early,input_block,60,-1e-06
P1_share_early,input_block,70,-1e-06
P1_share_early,input_block,80,-1e-06
P1_share_early,input_block,90,-1e-06
P1_share_early,input_block,100,-1e-06
P1_share_early,input_block,110,-1e-06
P1_share_early,input_block,120,-1e-06
P1_share_early,input_block,130,-1e-06
P1_share_early,input_block,140,-1e-06
P1_share_early,input_block,150,-1e-06
P1_share_early,input_block,160,-1e-06
P1_share_early,input_block,170,-1e-06
P1_share_early,input_block,180,-1e-06
P1_share_early,input_block,190,-1e-06
P1_share_early,input_block,200,-1e-06
