cluster,opponent,round,win_rate
tactical,Stockfish-1200,210,25.0
tactical,Stockfish-1400,210,40.0
tactical,Stockfish-1000,220,45.0
tactical,Stockfish-1200,220,30.0
tactical,Stockfish-1400,220,15.0
tactical,Stockfish-1000,230,30.0
tactical,Stockfish-1200,230,30.0
tactical,Stockfish-1400,230,35.0
tactical,Stockfish-1000,240,40.0
tactical,Stockfish-1200,240,30.0
tactical,Stockfish-1400,240,20.0
tactical,Stockfish-1000,250,30.0
tactical,Stockfish-1200,250,20.0
tactical,Stockfish-1400,250,35.0
tactical,Stockfish-1000,260,40.0
tactical,Stockfish-1200,260,15.0
tactical,Stockfish-1400,260,35.0
tactical,Stockfish-1000,270,25.0
tactical,Stockfish-1200,270,20.0
tactical,Stockfish-1400,270,65.0
tactical,Stockfish-1000,280,65.0
tactical,Stockfish-1200,280,30.0
tactical,Stockfish-1400,280,20.0
tactical,Stockfish-1000,290,25.0
tactical,Stockfish-1200,290,55.0
tactical,Stockfish-1400,290,25.0
tactical,Stockfish-1000,300,30.0
tactical,Stockfish-1200,300,30.0
tactical,Stockfish-1400,300,50.0
tactical,Stockfish-1000,310,35.0
tactical,Stockfish-1200,310,30.0
tactical,Stockfish-1400,310,45.0
tactical,Stockfish-1000,320,20.0
tactical,Stockfish-1200,320,45.0
tactical,Stockfish-1400,320,20.0
tactical,Stockfish-1000,330,50.0
tactical,Stockfish-1200,330,50.0
tactical,Stockfish-1400,330,25.0
tactical,Stockfish-1000,340,45.0
tactical,Stockfish-1200,340,15.0
tactical,Stockfish-1400,340,25.0
tactical,Stockfish-1000,350,50.0
tactical,Stockfish-1200,350,60.0
tactical,Stockfish-1400,350,40.0
positional,Stockfish-1000,10,0.0
positional,Stockfish-1200,10,0.0
positional,Stockfish-1400,10,0.0
positional,Stockfish-1000,20,5.0
positional,Stockfish-1200,20,0.0
positional,Stockfish-1400,20,5.0
positional,Stockfish-1000,30,0.0
positional,Stockfish-1200,30,5.0
positional,Stockfish-1400,30,0.0
positional,Stockfish-1000,40,5.0
positional,Stockfish-1200,40,5.0
positional,Stockfish-1400,40,15.0
positional,Stockfish-1000,50,0.0
positional,Stockfish-1200,50,0.0
positional,Stockfish-1400,50,20.0
positional,Stockfish-1000,60,0.0
positional,Stockfish-1200,60,0.0
positional,Stockfish-1400,60,15.0
positional,Stockfish-1000,70,10.0
positional,Stockfish-1200,70,15.0
positional,Stockfish-1400,70,10.0
positional,Stockfish-1000,80,40.0
positional,Stockfish-1200,80,10.0
positional,Stockfish-1400,80,10.0
positional,Stockfish-1000,90,20.0
positional,Stockfish-1200,90,20.0
positional,Stockfish-1400,90,10.0
positional,Stockfish-1000,100,35.0
positional,Stockfish-1200,100,15.0
positional,Stockfish-1400,100,10.0
positional,Stockfish-1000,110,5.0
positional,Stockfish-1200,110,45.0
positional,Stockfish-1400,110,10.0
positional,Stockfish-1000,120,20.0
positional,Stockfish-1200,120,0.0
positional,Stockfish-1400,120,25.0
positional,Stockfish-1000,130,35.0
positional,Stockfish-1200,130,15.0
positional,Stockfish-1400,130,30.0
positional,Stockfish-1000,140,65.0
positional,Stockfish-1200,140,20.0
positional,Stockfish-1400,140,10.0
positional,Stockfish-1000,150,35.0
positional,Stockfish-1200,150,15.0
positional,Stockfish-1400,150,25.0
positional,Stockfish-1000,160,25.0
positional,Stockfish-1200,160,35.0
positional,Stockfish-1400,160,15.0
positional,Stockfish-1000,170,15.0
positional,Stockfish-1200,170,45.0
positional,Stockfish-1400,170,20.0
positional,Stockfish-1000,180,45.0
positional,Stockfish-1200,180,25.0
positional,Stockfish-1400,180,30.0
positional,Stockfish-1000,190,55.0
positional,Stockfish-1200,190,5.0
positional,Stockfish-1400,190,15.0
positional,Stockfish-1000,200,65.0
positional,Stockfish-1200,200,20.0
positional,Stockfish-1400,200,25.0
positional,Stockfish-1000,210,30.0
positional,Stockfish-1200,210,20.0
positional,Stockfish-1400,210,15.0
positional,Stockfish-1000,220,30.0
positional,Stockfish-1200,220,25.0
positional,Stockfish-1400,220,40.0
positional,Stockfish-1000,230,30.0
positional,Stockfish-1200,230,40.0
positional,Stockfish-1400,230,10.0
positional,Stockfish-1000,240,50.0
positional,Stockfish-1200,240,25.0
positional,Stockfish-1400,240,30.0
positional,Stockfish-1000,250,45.0
positional,Stockfish-1200,250,40.0
