cluster,opponent,round,win_rate
tactical,Stockfish-1200,210,10.0
tactical,Stockfish-1400,210,35.0
tactical,Stockfish-1000,220,50.0
tactical,Stockfish-1200,220,20.0
tactical,Stockfish-1400,220,40.0
tactical,Stockfish-1000,230,25.0
tactical,Stockfish-1200,230,5.0
tactical,Stockfish-1400,230,20.0
tactical,Stockfish-1000,240,45.0
tactical,Stockfish-1200,240,15.0
tactical,Stockfish-1400,240,70.0
tactical,Stockfish-1000,250,45.0
tactical,Stockfish-1200,250,40.0
tactical,Stockfish-1400,250,25.0
tactical,Stockfish-1000,260,40.0
tactical,Stockfish-1200,260,25.0
tactical,Stockfish-1400,260,25.0
tactical,Stockfish-1000,270,45.0
tactical,Stockfish-1200,270,15.0
tactical,Stockfish-1400,270,55.0
tactical,Stockfish-1000,280,65.0
tactical,Stockfish-1200,280,25.0
tactical,Stockfish-1400,280,15.0
tactical,Stockfish-1000,290,40.0
tactical,Stockfish-1200,290,30.0
tactical,Stockfish-1400,290,50.0
tactical,Stockfish-1000,300,35.0
tactical,Stockfish-1200,300,25.0
tactical,Stockfish-1400,300,20.0
tactical,Stockfish-1000,310,60.0
tactical,Stockfish-1200,310,20.0
tactical,Stockfish-1400,310,25.0
tactical,Stockfish-1000,320,25.0
tactical,Stockfish-1200,320,45.0
tactical,Stockfish-1400,320,45.0
tactical,Stockfish-1000,330,35.0
tactical,Stockfish-1200,330,30.0
tactical,Stockfish-1400,330,45.0
tactical,Stockfish-1000,340,35.0
tactical,Stockfish-1200,340,45.0
tactical,Stockfish-1400,340,20.0
tactical,Stockfish-1000,350,50.0
tactical,Stockfish-1200,350,45.0
tactical,Stockfish-1400,350,45.0
positional,Stockfish-1000,10,0.0
positional,Stockfish-1200,10,0.0
positional,Stockfish-1400,10,10.0
positional,Stockfish-1000,20,5.0
positional,Stockfish-1200,20,0.0
positional,Stockfish-1400,20,0.0
positional,Stockfish-1000,30,5.0
positional,Stockfish-1200,30,0.0
positional,Stockfish-1400,30,0.0
positional,Stockfish-1000,40,0.0
positional,Stockfish-1200,40,5.0
positional,Stockfish-1400,40,0.0
positional,Stockfish-1000,50,10.0
positional,Stockfish-1200,50,15.0
positional,Stockfish-1400,50,0.0
positional,Stockfish-1000,60,15.0
positional,Stockfish-1200,60,5.0
positional,Stockfish-1400,60,10.0
positional,Stockfish-1000,70,25.0
positional,Stockfish-1200,70,15.0
positional,Stockfish-1400,70,5.0
positional,Stockfish-1000,80,10.0
positional,Stockfish-1200,80,0.0
positional,Stockfish-1400,80,15.0
positional,Stockfish-1000,90,35.0
positional,Stockfish-1200,90,10.0
positional,Stockfish-1400,90,0.0
positional,Stockfish-1000,100,10.0
positional,Stockfish-1200,100,20.0
positional,Stockfish-1400,100,0.0
positional,Stockfish-1000,110,10.0
positional,Stockfish-1200,110,20.0
positional,Stockfish-1400,110,20.0
positional,Stockfish-1000,120,25.0
positional,Stockfish-1200,120,20.0
positional,Stockfish-1400,120,0.0
positional,Stockfish-1000,130,20.0
positional,Stockfish-1200,130,0.0
positional,Stockfish-1400,130,10.0
positional,Stockfish-1000,140,25.0
positional,Stockfish-1200,140,35.0
positional,Stockfish-1400,140,30.0
positional,Stockfish-1000,150,30.0
positional,Stockfish-1200,150,5.0
positional,Stockfish-1400,150,10.0
positional,Stockfish-1000,160,5.0
positional,Stockfish-1200,160,15.0
positional,Stockfish-1400,160,35.0
positional,Stockfish-1000,170,35.0
positional,Stockfish-1200,170,30.0
positional,Stockfish-1400,170,5.0
positional,Stockfish-1000,180,25.0
positional,Stockfish-1200,180,20.0
positional,Stockfish-1400,180,30.0
positional,Stockfish-1000,190,55.0
positional,Stockfish-1200,190,25.0
positional,Stockfish-1400,190,35.0
positional,Stockfish-1000,200,35.0
positional,Stockfish-1200,200,40.0
positional,Stockfish-1400,200,45.0
positional,Stockfish-1000,210,40.0
positional,Stockfish-1200,210,10.0
positional,Stockfish-1400,210,30.0
positional,Stockfish-1000,220,35.0
positional,Stockfish-1200,220,60.0
positional,Stockfish-1400,220,15.0
positional,Stockfish-1000,230,35.0
positional,Stockfish-1200,230,35.0
positional,Stockfish-1400,230,10.0
positional,Stockfish-1000,240,55.0
positional,Stockfish-1200,240,50.0
positional,Stockfish-1400,240,20.0
positional,Stockfish-1000,250,40.0
positional,Stockfish-1200,250,20.0
