cluster,opponent,round,win_rate
tactical,Stockfish-1200,210,25.0
tactical,Stockfish-1400,210,30.0
tactical,Stockfish-1000,220,50.0
tactical,Stockfish-1200,220,20.0
tactical,Stockfish-1400,220,35.0
tactical,Stockfish-1000,230,30.0
tactical,Stockfish-1200,230,40.0
tactical,Stockfish-1400,230,15.0
tactical,Stockfish-1000,240,30.0
tactical,Stockfish-1200,240,30.0
tactical,Stockfish-1400,240,30.0
tactical,Stockfish-1000,250,35.0
tactical,Stockfish-1200,250,15.0
tactical,Stockfish-1400,250,40.0
tactical,Stockfish-1000,260,35.0
tactical,Stockfish-1200,260,35.0
tactical,Stockfish-1400,260,10.0
tactical,Stockfish-1000,270,35.0
tactical,Stockfish-1200,270,45.0
tactical,Stockfish-1400,270,65.0
tactical,Stockfish-1000,280,65.0
tactical,Stockfish-1200,280,40.0
tactical,Stockfish-1400,280,10.0
tactical,Stockfish-1000,290,45.0
tactical,Stockfish-1200,290,40.0
tactical,Stockfish-1400,290,15.0
tactical,Stockfish-1000,300,45.0
tactical,Stockfish-1200,300,15.0
tactical,Stockfish-1400,300,55.0
tactical,Stockfish-1000,310,60.0
tactical,Stockfish-1200,310,35.0
tactical,Stockfish-1400,310,40.0
tactical,Stockfish-1000,320,50.0
tactical,Stockfish-1200,320,35.0
tactical,Stockfish-1400,320,40.0
tactical,Stockfish-1000,330,25.0
tactical,Stockfish-1200,330,35.0
tactical,Stockfish-1400,330,50.0
tactical,Stockfish-1000,340,25.0
tactical,Stockfish-1200,340,25.0
tactical,Stockfish-1400,340,30.0
tactical,Stockfish-1000,350,50.0
tactical,Stockfish-1200,350,35.0
tactical,Stockfish-1400,350,25.0
positional,Stockfish-1000,10,0.0
positional,Stockfish-1200,10,0.0
positional,Stockfish-1400,10,0.0
positional,Stockfish-1000,20,0.0
positional,Stockfish-1200,20,0.0
positional,Stockfish-1400,20,0.0
positional,Stockfish-1000,30,0.0
positional,Stockfish-1200,30,5.0
positional,Stockfish-1400,30,0.0
positional,Stockfish-1000,40,10.0
positional,Stockfish-1200,40,0.0
positional,Stockfish-1400,40,0.0
positional,Stockfish-1000,50,10.0
positional,Stockfish-1200,50,0.0
positional,Stockfish-1400,50,0.0
positional,Stockfish-1000,60,15.0
positional,Stockfish-1200,60,10.0
positional,Stockfish-1400,60,10.0
positional,Stockfish-1000,70,20.0
positional,Stockfish-1200,70,10.0
positional,Stockfish-1400,70,15.0
positional,Stockfish-1000,80,10.0
positional,Stockfish-1200,80,0.0
positional,Stockfish-1400,80,30.0
positional,Stockfish-1000,90,35.0
positional,Stockfish-1200,90,5.0
positional,Stockfish-1400,90,20.0
positional,Stockfish-1000,100,25.0
positional,Stockfish-1200,100,20.0
positional,Stockfish-1400,100,35.0
positional,Stockfish-1000,110,45.0
positional,Stockfish-1200,110,5.0
positional,Stockfish-1400,110,20.0
positional,Stockfish-1000,120,20.0
positional,Stockfish-1200,120,25.0
positional,Stockfish-1400,120,5.0
positional,Stockfish-1000,130,15.0
positional,Stockfish-1200,130,25.0
positional,Stockfish-1400,130,5.0
positional,Stockfish-1000,140,30.0
positional,Stockfish-1200,140,40.0
positional,Stockfish-1400,140,15.0
positional,Stockfish-1000,150,35.0
positional,Stockfish-1200,150,20.0
positional,Stockfish-1400,150,0.0
positional,Stockfish-1000,160,15.0
positional,Stockfish-1200,160,15.0
positional,Stockfish-1400,160,15.0
positional,Stockfish-1000,170,15.0
positional,Stockfish-1200,170,40.0
positional,Stockfish-1400,170,40.0
positional,Stockfish-1000,180,35.0
positional,Stockfish-1200,180,15.0
positional,Stockfish-1400,180,20.0
positional,Stockfish-1000,190,35.0
positional,Stockfish-1200,190,35.0
positional,Stockfish-1400,190,25.0
positional,Stockfish-1000,200,35.0
positional,Stockfish-1200,200,15.0
positional,Stockfish-1400,200,10.0
positional,Stockfish-1000,210,20.0
positional,Stockfish-1200,210,20.0
positional,Stockfish-1400,210,20.0
positional,Stockfish-1000,220,55.0
positional,Stockfish-1200,220,20.0
positional,Stockfish-1400,220,25.0
positional,Stockfish-1000,230,15.0
positional,Stockfish-1200,230,15.0
positional,Stockfish-1400,230,40.0
positional,Stockfish-1000,240,25.0
positional,Stockfish-1200,240,35.0
positional,Stockfish-1400,240,10.0
positional,Stockfish-1000,250,20.0
positional,Stockfish-1200,250,35.0
